Date,Open,High,Low,Close,Volume,Market Cap
May-19-2019,7328.418962598,8237.723663509,7328.418962598,8186.662732404,18965835929.185444,140199101489.5413
May-12-2019,7201.642617775,7510.847160734,6844.12606548,6992.035883656,27817884903.013718,126665956942.93056
May-05-2019,5819.009881457,5822.576221488,5714.366264154,5779.333068834,14352891358.014853,102127694637.92424
Apr-28-2019,5277.479653583,5322.308489442,5241.079210927,5293.938255503,11224137756.93043,93558725514.17279
Apr-21-2019,5365.439861043,5381.725474671,5296.630795402,5349.866310892,12438521689.224068,94276486623.07527
Apr-14-2019,5130.872758133,5198.607002691,5089.297332302,5187.562407627,9988617584.47333,90502450269.78593
Apr-07-2019,5066.362965449,5244.16584738,5066.362965449,5212.309923024,13686230210.00485,90801148616.96054
Mar-31-2019,4166.325800301,4210.95413776,4154.548282798,4202.588398158,7198090848.707396,73555425132.99469
Mar-24-2019,4033.555246062,4080.429132322,4012.282392053,4024.480055518,6725878926.084825,70952645246.25719
Mar-17-2019,4022.969398171,4036.719225768,3982.223905902,4007.166919858,6292934445.182644,70469401195.5264
Mar-10-2019,3932.190274542,3932.190274542,3882.908897694,3902.80646271,7402567148.695504,68630276306.68778
Mar-03-2019,3845.483709779,3898.093996858,3827.076615763,3881.076222168,5447909337.815124,67674260303.552826
Feb-24-2019,4123.504872516,4172.083234272,3784.637178687,3807.506663628,7968911492.198975,70438655319.02464
Feb-17-2019,3598.148040489,3637.774895747,3577.450979857,3630.26901901,3355410897.195083,63155392541.64307
Feb-10-2019,3648.638905669,3664.267250837,3608.204418369,3663.532766717,3568337039.2575016,63662199518.57828
Feb-03-2019,3498.020425385,3499.461531698,3432.582850938,3451.480647199,2976985222.0832996,60692509793.24067
Jan-27-2019,3595.463472868,3605.284864841,3547.930411633,3575.69534679,3232926763.9248695,62714618465.37526
Jan-20-2019,3732.314578714,3746.098908126,3560.54361857,3583.507435701,3873034470.9671497,63901100447.949326
Jan-13-2019,3668.577160208,3675.767876524,3545.768209284,3553.227143057,3457204812.510096,63452656416.812256
Jan-06-2019,3868.739955187,4104.080838569,3846.981955643,4085.907581678,4003384608.6634007,68616058385.3735
Dec-30-2018,3800.90618573,3885.944595624,3783.461120121,3863.165983794,3919248135.353045,66970589827.82917
Dec-23-2018,3992.590689234,4061.599528447,3956.035483518,3980.147519,4105611460.59793,69886595331.81567
Dec-16-2018,3242.71165726,3304.752077103,3237.496112093,3259.040241951,2303080492.219079,57063453547.32632
Dec-09-2018,3457.41952613,3669.370224454,3438.48601509,3586.572260842,3223762331.4300394,61354932798.97595
Dec-02-2018,4206.215757456,4291.695878947,4118.785078199,4143.979048443,3302972567.605143,72782116451.08961
Nov-25-2018,3886.472347228,4110.040082263,3596.00806059,4008.329435561,4489490623.401364,66596064263.03372
Nov-18-2018,5631.943421713,5676.508478713,5612.226552794,5647.479577306,2911353904.9948993,98099364143.86732
Nov-11-2018,6400.034596672,6419.629801806,6364.816154636,6407.676509173,3237576630.338422,111173308749.20836
Nov-04-2018,6386.909849955,6483.22544861,6372.297571342,6456.241631256,3464581702.084554,111361998363.62692
Oct-28-2018,6416.549408448,6464.692941826,6381.13930249,6406.221101405,2906079102.3680205,111113637087.57326
Oct-21-2018,6465.940550179,6505.716811461,6429.063841525,6475.861331941,2678968945.046221,112505396344.03522
Oct-14-2018,6322.634877764,6382.174804448,6312.444607358,6321.8112547,2473293529.3844576,110079030610.19019
Oct-07-2018,6591.961723594,6629.59915977,6544.87251455,6595.637641947,2328395841.8460917,113885583317.2853
Sep-30-2018,6594.927830488,6642.932344614,6555.15405797,6619.480812488,3156173083.6218467,114125391350.85373
Sep-23-2018,6707.056771032,6772.406208207,6676.568040518,6709.838127072,3519712889.774574,116033559671.52324
Sep-16-2018,6535.007313325,6535.007313325,6432.952919051,6512.152477693,2612709364.0235004,112239914834.6034
Sep-09-2018,6213.220555941,6434.372794125,6186.808464011,6277.682276629,3170107868.1843734,109035714370.45229
Sep-02-2018,7189.711798204,7303.005790535,7126.753759791,7277.239549473,4026452649.613735,124689669675.93884
Aug-26-2018,6740.966519331,6763.799067002,6594.151991808,6705.158422661,2897692512.0954666,115136755514.16136
Aug-19-2018,6416.237390702,6543.63761398,6354.653622556,6509.31191253,3185408871.9864283,110575568197.29001
Aug-12-2018,6269.572355626,6433.37253417,6227.37113489,6342.511734015,3631377731.046385,108986681777.66579
Aug-05-2018,7021.618542978,7076.470273596,6924.906451544,7041.990104397,3682909104.367678,120528010089.83214
Jul-29-2018,8230.52203672,8273.041209949,8130.355936972,8211.614334805,3666674348.965748,140931396441.1423
Jul-22-2018,7398.452210369,7535.767369706,7381.602713089,7391.747573501,3665112371.9181433,127708552338.54575
Jul-15-2018,6250.324790913,6381.087798012,6236.637067252,6346.599550754,3455989685.6982293,108301684788.81506
Jul-08-2018,6715.378280114,6759.512216994,6687.644579808,6711.756799934,4983369408.61671,115356288726.25119
Jul-01-2018,6385.423752059,6409.365459218,6310.846816102,6364.401841845,3508360442.8746557,109006878047.62534
Jun-24-2018,6157.664107899,6211.292125144,5829.901535379,6149.117943358,3728670367.4808583,103104840640.45653
Jun-17-2018,6500.4350038,6541.234834405,6459.314000665,6461.213024688,2039619863.6724365,111222374664.01273
Jun-10-2018,7563.600993476,7563.600993476,6759.046140495,6797.078904208,3104326326.997626,122562640554.78455
Jun-03-2018,7586.635658935,7709.254871346,7567.496422821,7684.931799179,3988066391.916733,131477090606.00702
May-27-2018,7358.682109051,7380.225321265,7269.543823627,7363.936760174,3037874870.6619616,125071558308.78893
May-20-2018,8232.481806821,8538.388398431,8177.724729808,8499.122900226,3622202463.3850236,142883459805.09985
May-13-2018,8488.707530407,8753.425965701,8376.21910193,8699.820502933,4329079560.403619,146413407329.29117
May-06-2018,9869.313498486,9960.40872297,9495.756447446,9666.853489071,5579263731.540215,164319563566.66772
Apr-29-2018,9337.929478299,9519.119728571,9194.490547479,9413.40930469,6578695509.1461735,159435102032.22025
Apr-22-2018,8890.882431127,8959.354943453,8766.335741868,8787.210205792,5388898212.038859,151206617490.12155
Apr-15-2018,7931.478615367,8313.382621504,7927.418850318,8301.987534486,4064566540.1385894,139314075515.98734
Apr-08-2018,6898.345032954,7076.715293438,6898.345032954,7000.923354625,3056918181.447544,118826615776.68887
Apr-01-2018,6959.890619635,7054.477479687,6506.022091086,6830.630577316,3598865261.866427,116292884529.76468
Mar-25-2018,8554.421564965,8680.428839237,8425.566950814,8466.556129044,3029683211.9522142,146027822374.36108
Mar-18-2018,7912.658935325,8232.483152026,7364.223838206,8092.439641691,4628590454.301849,129663399258.24805
Mar-11-2018,8856.718881049,9704.329233795,8581.458152794,9570.367448236,4665413193.991818,153523238058.01843
Mar-04-2018,11497.564316573,11516.383565834,11144.735675761,11516.383565834,3861373865.8980474,190891708185.22665
Feb-25-2018,9844.516789724,9958.130899873,9413.022290432,9699.647408137,3265197229.414529,163411665694.33392
Feb-18-2018,11124.360485028,11326.127511759,10338.069950572,10576.175563517,5158247526.95291,182672172258.91785
Feb-11-2018,8624.258121035,8624.258121035,7914.921550101,8099.307365642,3776449040.8718176,138897573472.04578
Feb-04-2018,9198.067913658,9351.571884294,7986.357858902,8256.583798421,3993493752.4681964,147141784507.89807
Jan-28-2018,11492.650190852,12113.076354227,11460.249891942,11865.231885092,6719212830.429968,198082558702.67523
Jan-21-2018,12982.920751349,12982.920751349,11241.295911277,11481.025132436,8556846220.196241,199805387138.93097
Jan-14-2018,14535.057286259,14661.400704008,13123.356032067,13815.429666612,11121051176.190733,230699974615.23398
Jan-07-2018,17147.576402894,17147.576402894,15811.120768799,16515.287371965,14928537112.943415,284648058031.04846
Dec-31-2017,12596.018572226,14298.865844503,12395.289474931,14033.567993366,11818683013.594137,229602652718.70227
Dec-24-2017,14159.446340004,14976.380227885,12155.933488041,13812.876812572,10635564244.444635,229493846731.4169
Dec-17-2017,19417.860788762,19927.185336626,18860.385714703,19156.710367786,11897297708.143185,325803227468.5397
Dec-10-2017,15159.236376816,15913.390065812,13161.048339075,15565.861910816,10291186742.55354,243397487905.85233
Dec-03-2017,11048.835144428,11823.20125446,10842.238446681,11304.617026381,4439198029.6048155,190783469525.9246
Nov-26-2017,8810.907356877,9533.163069933,8807.993351472,9359.825973887,4253796435.542221,151671856060.99677
Nov-19-2017,7775.150351337,8043.240302154,7654.556186671,8023.985992887,2603344061.4870615,130323209913.76187
Nov-12-2017,6355.853306399,6480.458934519,5614.214077563,5991.383038848,3190841731.7338734,101632307451.49808
Nov-05-2017,7394.381478481,7618.518167368,7325.719049021,7392.794234066,1991166333.1854892,124796270051.01147
Oct-29-2017,5749.563998586,6216.524432728,5728.870270094,6146.589797876,1602732524.7408447,97802078340.39246
Oct-22-2017,6035.40672462,6083.978976363,5763.931731545,6018.877566805,2075433694.174529,98790684852.38954
Oct-15-2017,5809.644088943,5834.511811084,5451.573759303,5671.364511749,1224709413.4018707,94193776389.96684
Oct-08-2017,4399.840561695,4605.822534738,4391.704577084,4594.79146643,919376108.2928387,74813792711.00148
Oct-01-2017,4313.690410394,4367.362509482,4258.475163505,4361.139973296,1043389065.9615016,71812315487.24437
Sep-24-2017,3792.4,3796.15,3666.9,3689.71,842150277.7777778,61671526337.28415
Sep-17-2017,3625.04,3664.81,3445.64,3583.22,1441625454.5454545,58836899903.99909
Sep-10-2017,4226.06,4245.44,3951.04,4122.58,1517856376.3066201,68039152047.20808
Sep-03-2017,4578.77,4714.08,4417.59,4581.11,2178595381.9444447,75805250008.3984
Aug-27-2017,4352.4,4416.59,4317.29,4379.94,1494478105.2631578,71990197747.98267
Aug-20-2017,4193.7,4196.29,4069.88,4108.93,2491604548.611111,68107644315.7089
Aug-13-2017,3884.71,4208.39,3857.8,4062.87,2929857152.7777777,66698944735.39075
Aug-06-2017,3252.91,3293.29,3155.6,3218.02,1406395868.0555556,53335010581.1133
Jul-30-2017,2726.45,2758.53,2644.85,2752.85,728973611.1111112,44592449133.619225
Jul-23-2017,2810.12,2832.18,2653.94,2731.29,1177193750,45295672920.659805
Jul-16-2017,1998.86,2058.77,1843.03,1922.72,1033100534.7222222,32032252666.132133
Jul-09-2017,2571.34,2635.49,2517.59,2517.59,604168879.5620438,42231153309.486694
Jul-02-2017,2434.55,2514.28,2394.84,2511.31,774739707.3170732,40223413322.74197
Jun-25-2017,2608.72,2682.26,2552.12,2589.86,1022550449.122807,42966779382.097626
Jun-18-2017,2655.88,2662.1,2516.33,2547.97,1388967874.56446,42488909705.11547
Jun-11-2017,2947.71,2996.6,2840.53,2964.08,2008677202.7972028,47637489620.186615
Jun-04-2017,2515.35,2585.89,2452.54,2522.07,1512326341.4634147,41592968557.97311
May-28-2017,2038.87,2267.34,2038.87,2157.05,1430073693.379791,35527733790.18889
